"Time","pop_type","n_pop","pop_size","mean_b","mean_d"
0,"noLansing",1,500,1.5,0.82
0,"Lansing",1,500,1.5,1.3
1,"noLansing",1,519,1.50141368015414,0.821410346820809
1,"Lansing",1,541,1.50150240295749,1.29833696857671
2,"noLansing",1,364,1.50360494505495,0.822621043956044
2,"Lansing",1,482,1.50430954356846,1.21094290705394
3,"noLansing",1,285,1.50786280701754,0.817558350877193
3,"Lansing",1,386,1.50914093264249,1.17999662046632
4,"noLansing",1,210,1.50559333333333,0.821355857142857
4,"Lansing",1,344,1.50123953488372,1.16089361407267
5,"noLansing",1,188,1.50861010638298,0.834831489361702
5,"Lansing",1,331,1.49792990936556,1.16071718562236
6,"noLansing",1,183,1.5066218579235,0.824290819672131
6,"Lansing",1,290,1.48533586206897,1.12758393824138
7,"noLansing",1,169,1.49181124260355,0.831983727810651
7,"Lansing",1,261,1.48405862068966,1.16460164099617
8,"noLansing",1,199,1.49409045226131,0.831151959798995
8,"Lansing",1,242,1.48144834710744,1.17847519834711
9,"noLansing",1,213,1.5088103286385,0.842372676056338
9,"Lansing",1,189,1.47873650793651,1.21654053333333
10,"noLansing",1,217,1.51891244239631,0.848691751152074
10,"Lansing",1,207,1.44784106280193,1.24433947826087
11,"noLansing",1,210,1.55154761904762,0.866087476190476
11,"Lansing",1,249,1.45186746987952,1.26571419638554
12,"noLansing",1,227,1.56979162995595,0.884541806167401
12,"Lansing",1,285,1.47433719298246,1.22363093157895
13,"noLansing",1,227,1.58005550660793,0.908681453744493
13,"Lansing",1,293,1.48886006825939,1.24296028623891
14,"noLansing",1,201,1.58057711442786,0.926427960199005
14,"Lansing",1,280,1.48861821428571,1.2830088831
15,"noLansing",1,221,1.6032742081448,0.953930180995475
15,"Lansing",1,295,1.49375762711864,1.28962908440678
16,"noLansing",1,252,1.61295952380952,0.982375793650794
16,"Lansing",1,301,1.4942073089701,1.27575378737542
17,"noLansing",1,305,1.59320032786885,0.979356590163934
17,"Lansing",1,266,1.50623195488722,1.27616221165414
18,"noLansing",1,331,1.62199305135952,0.987294471299094
18,"Lansing",1,227,1.51791365638767,1.35591447577093
19,"noLansing",1,358,1.63977849162011,0.974558296089385
19,"Lansing",1,224,1.52390491071429,1.43369819196429
20,"noLansing",1,346,1.67105867052023,0.967618641618497
20,"Lansing",1,217,1.51286866359447,1.48786378801843
21,"noLansing",1,308,1.67509090909091,0.958618084415584
21,"Lansing",1,239,1.51020836820084,1.50911941422594
22,"noLansing",1,252,1.69904563492063,0.98295996031746
22,"Lansing",1,280,1.54409928571429,1.48515514285714
23,"noLansing",1,288,1.70754513888889,0.970039444444444
23,"Lansing",1,277,1.59268880866426,1.45063111516245
24,"noLansing",1,288,1.703928125,0.989921944444444
24,"Lansing",1,260,1.61752769230769,1.42291195846154
25,"noLansing",1,238,1.71984033613445,1.01169046218487
25,"Lansing",1,266,1.65881616541353,1.45198842406015
26,"noLansing",1,245,1.72887346938775,1.00835702040816
26,"Lansing",1,270,1.6711,1.4595577237037
27,"noLansing",1,306,1.73958496732026,1.04018241830065
27,"Lansing",1,254,1.65924724409449,1.47292181220472
28,"noLansing",1,359,1.76266824512535,1.06298888579387
28,"Lansing",1,238,1.65137983193277,1.53252443697479
29,"noLansing",1,347,1.75057982708934,1.08603074927954
29,"Lansing",1,249,1.64436144578313,1.49098415220884
30,"noLansing",1,327,1.75753944954128,1.11286039755352
30,"Lansing",1,263,1.64312585551331,1.58202143346008
31,"noLansing",1,337,1.76686231454006,1.13408237388724
31,"Lansing",1,260,1.62911076923077,1.60324445
32,"noLansing",1,337,1.77141364985163,1.14421943620178
32,"Lansing",1,295,1.62050915254237,1.63502389491525
33,"noLansing",1,345,1.75849855072464,1.17416055072464
33,"Lansing",1,297,1.61581245791246,1.63669859259259
34,"noLansing",1,335,1.73536955223881,1.20441585074627
34,"Lansing",1,310,1.63577806451613,1.64456338064516
35,"noLansing",1,317,1.74607034700315,1.23788507886435
35,"Lansing",1,302,1.6243082781457,1.66213859933775
36,"noLansing",1,332,1.73872018072289,1.2396484939759
36,"Lansing",1,318,1.63788522012579,1.6809473490566
37,"noLansing",1,338,1.73803786982249,1.26088103550296
37,"Lansing",1,302,1.64402715231788,1.70063509933775
38,"noLansing",1,365,1.75264,1.29186690410959
38,"Lansing",1,341,1.64127536656892,1.69441831378299
39,"noLansing",1,377,1.7896225464191,1.27079031830239
39,"Lansing",1,332,1.66324759036145,1.7052655753012
40,"noLansing",1,374,1.81411176470588,1.23592804812834
40,"Lansing",1,340,1.64534911764706,1.70936226764706
41,"noLansing",1,376,1.88120132978723,1.21708425531915
41,"Lansing",1,337,1.64432522255193,1.69971645103858
42,"noLansing",1,308,1.95354512987013,1.22521727272727
42,"Lansing",1,346,1.62578150289017,1.67959374566474
43,"noLansing",1,324,1.99848518518519,1.2307250617284
43,"Lansing",1,362,1.59404033149171,1.6670600359116
44,"noLansing",1,323,2.071826625387,1.27910241486068
44,"Lansing",1,386,1.61336865284974,1.68380679792746
45,"noLansing",1,320,2.07969,1.30005728125
45,"Lansing",1,396,1.64856262626263,1.72635723232323
46,"noLansing",1,343,2.08896618075802,1.30632807580175
46,"Lansing",1,361,1.67019473684211,1.76784847645429
47,"noLansing",1,394,2.11343578680203,1.32910345177665
47,"Lansing",1,373,1.6762091152815,1.79248257372654
48,"noLansing",1,413,2.12036634382567,1.3333416464891
48,"Lansing",1,294,1.70980340136054,1.80969795918367
49,"noLansing",1,439,2.13454738041002,1.35434466970387
49,"Lansing",1,285,1.74675298245614,1.82654115438596
50,"noLansing",1,450,2.15629133333333,1.37131662222222
50,"Lansing",1,276,1.79036884057971,1.83374051594203
51,"noLansing",1,469,2.15459296375267,1.36323923240938
51,"Lansing",1,247,1.80522591093117,1.86475020242915
52,"noLansing",1,514,2.17531653696498,1.38985449416342
52,"Lansing",1,244,1.85790081967213,1.84720230737705
53,"noLansing",1,549,2.19216630236794,1.40780564663024
53,"Lansing",1,217,1.84057741935484,1.84665589400922
54,"noLansing",1,526,2.18085627376426,1.42703505703422
54,"Lansing",1,217,1.82066221198157,1.83835411705069
55,"noLansing",1,596,2.18782416107383,1.44310276845638
55,"Lansing",1,189,1.82921481481481,1.8652953015873
56,"noLansing",1,661,2.19865295007564,1.43057187594554
56,"Lansing",1,162,1.85818518518519,1.87216371604938
57,"noLansing",1,659,2.21121502276176,1.42166594840668
57,"Lansing",1,134,1.87654701492537,1.91757008208955
58,"noLansing",1,702,2.20793974358974,1.4245844017094
58,"Lansing",1,132,1.94718712121212,1.93435151515152
59,"noLansing",1,670,2.22702253731343,1.43927574626866
59,"Lansing",1,131,1.98759923664122,1.9418213740458
60,"noLansing",1,687,2.25897292576419,1.4313338573508
60,"Lansing",1,145,1.99471724137931,1.88310620689655
61,"noLansing",1,663,2.24902036199095,1.43454965309201
61,"Lansing",1,150,2.00275133333333,1.85620324666667
62,"noLansing",1,682,2.2555715542522,1.42902618768328
62,"Lansing",1,152,2.03724605263158,1.83599517631579
63,"noLansing",1,710,2.26240042253521,1.43971329577465
63,"Lansing",1,178,2.00732303370787,1.87443619101124
64,"noLansing",1,651,2.27004884792627,1.45460179723502
64,"Lansing",1,164,2.00668231707317,1.95346716463415
65,"noLansing",1,623,2.26545489566613,1.46016958266453
65,"Lansing",1,148,2.00253851351351,2.00474529054054
66,"noLansing",1,713,2.2692366058906,1.46888847124825
66,"Lansing",1,160,2.013564375,1.94919404
67,"noLansing",1,701,2.2802182596291,1.47022047075606
67,"Lansing",1,190,2.01948105263158,1.89523352144211
68,"noLansing",1,684,2.27851769005848,1.4816926754386
68,"Lansing",1,163,2.02147484662577,1.90447799922699
69,"noLansing",1,709,2.28870084626234,1.46963002820874
69,"Lansing",1,152,2.01848289473684,1.95820488815789
70,"noLansing",1,741,2.28427881241565,1.46700488529015
70,"Lansing",1,144,1.9947625,1.94374997916667
71,"noLansing",1,738,2.28720054200542,1.47588688346883
71,"Lansing",1,135,1.97785037037037,2.14904592592593
72,"noLansing",1,744,2.28509475806452,1.48512228494624
72,"Lansing",1,129,1.97748682170543,2.24041068217054
73,"noLansing",1,807,2.27578599752169,1.51033764560099
73,"Lansing",1,97,1.96848865979381,2.23475773195876
74,"noLansing",1,835,2.29027664670659,1.50947780838323
74,"Lansing",1,87,1.97960574712644,2.04338442528736
75,"noLansing",1,788,2.30885291878173,1.5368570177665
75,"Lansing",1,88,1.9808375,2.13355343181818
76,"noLansing",1,753,2.30426108897742,1.5383208499336
76,"Lansing",1,55,1.97218,2.22344181818182
77,"noLansing",1,787,2.3242289707751,1.54647937738246
77,"Lansing",1,44,2.0033,2.09559772727273
78,"noLansing",1,773,2.31341578266494,1.56928547218629
78,"Lansing",1,47,2.02018723404255,2.1144170212766
79,"noLansing",1,792,2.30884255050505,1.57152734848485
79,"Lansing",1,35,1.99836,2.03591878
80,"noLansing",1,858,2.30836876456876,1.5905239044289
80,"Lansing",1,38,1.96207105263158,2.29042461315789
81,"noLansing",1,851,2.32376721504113,1.57861904817861
81,"Lansing",1,29,1.95785172413793,2.38915862068966
82,"noLansing",1,821,2.32193386114495,1.5979343361754
82,"Lansing",1,42,1.93415714285714,2.2298770952381
83,"noLansing",1,819,2.3159978021978,1.61734449328449
83,"Lansing",1,42,1.85741666666667,2.47788571428571
84,"noLansing",1,798,2.32574335839599,1.63510489974937
84,"Lansing",1,35,1.86662,2.50672857142857
85,"noLansing",1,835,2.33832658682635,1.65773691017964
85,"Lansing",1,22,1.90067272727273,2.43664545454545
86,"noLansing",1,884,2.35605995475113,1.68176125565611
86,"Lansing",1,30,1.96231,2.36498333333333
87,"noLansing",1,939,2.35231501597444,1.68874553780618
87,"Lansing",1,25,2.017084,2.23182
88,"noLansing",1,900,2.36142011111111,1.6819861
88,"Lansing",1,30,2.06662,2.21944666666667
89,"noLansing",1,873,2.37724730813288,1.68244841924399
89,"Lansing",1,28,2.06474642857143,2.19469285714286
90,"noLansing",1,868,2.39053052995392,1.66787421658986
90,"Lansing",1,28,2.0697,2.19941785714286
91,"noLansing",1,875,2.38122811428571,1.66809667428571
91,"Lansing",1,41,2.05360731707317,2.25103414634146
92,"noLansing",1,872,2.38319736238532,1.69060925458716
92,"Lansing",1,51,2.06524705882353,2.27617843137255
93,"noLansing",1,856,2.38161565420561,1.7153671728972
93,"Lansing",1,32,2.06016875,2.333884375
94,"noLansing",1,878,2.39395523917995,1.71450291571754
94,"Lansing",1,30,2.06574333333333,2.32313
95,"noLansing",1,907,2.38660374862183,1.735492646086
95,"Lansing",1,19,2.06502105263158,2.29828947368421
96,"noLansing",1,911,2.37722162458836,1.74073374313941
96,"Lansing",1,11,2.00901818181818,2.26388181818182
97,"noLansing",1,943,2.37814146341463,1.76630604453871
97,"Lansing",1,12,2.00843333333333,2.27586666666667
98,"noLansing",1,918,2.38776252723312,1.76426140522876
98,"Lansing",1,12,2.03201666666667,2.27291666666667
99,"noLansing",1,890,2.38256606741573,1.76793516853933
99,"Lansing",1,19,2.1244,2.34587894736842
100,"noLansing",1,879,2.38605813424346,1.79126985210466
100,"Lansing",1,29,2.13160689655172,2.41286206896552
101,"noLansing",1,880,2.38742738636364,1.78531045454545
101,"Lansing",1,36,2.13966666666667,2.40037777777778
102,"noLansing",1,865,2.38908832369942,1.78157838150289
102,"Lansing",1,38,2.13117631578947,2.39237105263158
103,"noLansing",1,825,2.38704145454545,1.78198266666667
103,"Lansing",1,44,2.11474090909091,2.37495
104,"noLansing",1,866,2.39897806004619,1.7884337182448
104,"Lansing",1,25,2.106856,2.357232
105,"noLansing",1,885,2.3867593220339,1.79047186440678
105,"Lansing",1,28,2.12841785714286,2.334925
106,"noLansing",1,849,2.39117644287397,1.79737491166078
106,"Lansing",1,25,2.176656,2.33858
107,"noLansing",1,859,2.38728707799767,1.798424330617
107,"Lansing",1,25,2.125388,2.411668
108,"noLansing",1,863,2.38682062572422,1.81308933951333
108,"Lansing",1,18,2.11808888888889,2.44006666666667
109,"noLansing",1,876,2.38437899543379,1.8166051369863
109,"Lansing",1,8,2.126075,2.496825
110,"noLansing",1,875,2.40136354285714,1.82963474285714
110,"Lansing",1,8,2.1494125,2.496925
111,"noLansing",1,907,2.41170452039691,1.84976637265711
111,"Lansing",1,9,2.1291,2.46465555555556
112,"noLansing",1,916,2.42640283842795,1.84170851528384
112,"Lansing",1,14,2.15432857142857,2.46135
113,"noLansing",1,959,2.41758915537018,1.84664713242961
113,"Lansing",1,14,2.15065714285714,2.47636428571429
114,"noLansing",1,981,2.42109836901121,1.84769378185525
114,"Lansing",1,14,2.16812857142857,2.47632857142857
115,"noLansing",1,982,2.41245906313646,1.84202250509165
115,"Lansing",1,12,2.15713333333333,2.45954166666667
116,"noLansing",1,968,2.43317086776859,1.83572117768595
116,"Lansing",1,8,2.1672,2.465775
117,"noLansing",1,993,2.4229746223565,1.83836364551863
117,"Lansing",1,19,2.12781052631579,2.48057894736842
118,"noLansing",1,945,2.42915714285714,1.82891185185185
118,"Lansing",1,28,2.1327,2.48571428571429
119,"noLansing",1,926,2.43461749460043,1.84670982721382
119,"Lansing",1,30,2.13492333333333,2.49172666666667
120,"noLansing",1,925,2.4724652972973,1.82939740540541
120,"Lansing",1,38,2.13135789473684,2.49032894736842
121,"noLansing",1,896,2.47619040178571,1.84765524553571
121,"Lansing",1,35,2.15828571428571,2.51123142857143
122,"noLansing",1,908,2.51465649779736,1.84002422907489
122,"Lansing",1,42,2.16387857142857,2.54587142857143
123,"noLansing",1,869,2.51522761795167,1.85380771001151
123,"Lansing",1,41,2.1741487804878,2.58085853658537
124,"noLansing",1,901,2.49013251942286,1.87456004439512
124,"Lansing",1,48,2.18120833333333,2.5834375
125,"noLansing",1,931,2.47834801288937,1.88124360902256
125,"Lansing",1,34,2.17085,2.59452647058824
126,"noLansing",1,905,2.49309580110497,1.89003856353591
126,"Lansing",1,28,2.17310357142857,2.62293214285714
127,"noLansing",1,894,2.51157058165548,1.90423982102908
127,"Lansing",1,33,2.17385454545455,2.65151818181818
128,"noLansing",1,895,2.51023117318436,1.91154558659218
128,"Lansing",1,41,2.18527317073171,2.70381707317073
129,"noLansing",1,893,2.52405890257559,1.91140750279955
129,"Lansing",1,38,2.18821842105263,2.71946052631579
130,"noLansing",1,933,2.53400235798499,1.90814190782422
