"Time","pop_type","n_pop","pop_size","mean_b","mean_d"
0,"noLansing",1,500,1.5,0.819999992847443
0,"Lansing",1,500,1.5,1.29999995231628
1,"noLansing",1,505,1.5036096166138,0.821120159564735
1,"Lansing",1,554,1.50244844093235,1.2951946071904
2,"noLansing",1,349,1.49489538423732,0.828777471864711
2,"Lansing",1,467,1.50559211759181,1.18520401945221
3,"noLansing",1,354,1.48506397065486,0.832985541716917
3,"Lansing",1,366,1.5018673684859,1.12555656078115
4,"noLansing",1,304,1.48921841387106,0.835022937707097
4,"Lansing",1,330,1.50198161130524,1.17077706703465
5,"noLansing",1,241,1.50131921756205,0.845730532604271
5,"Lansing",1,307,1.50868318978344,1.20480646641599
6,"noLansing",1,238,1.51861447541562,0.865208623746816
6,"Lansing",1,289,1.53262851838617,1.26979049772411
7,"noLansing",1,261,1.54559767716615,0.873794609630034
7,"Lansing",1,251,1.54597832701234,1.2588333165744
8,"noLansing",1,249,1.56309088479034,0.854479813152363
8,"Lansing",1,229,1.57191585390174,1.28142000916652
9,"noLansing",1,245,1.56822290859509,0.849857951755821
9,"Lansing",1,229,1.61017706353309,1.28378467424174
10,"noLansing",1,248,1.55969536130331,0.857337154425256
10,"Lansing",1,259,1.63396614730421,1.31440076331716
11,"noLansing",1,203,1.53808272876459,0.854132372250167
11,"Lansing",1,311,1.63640992020093,1.38051649474928
12,"noLansing",1,145,1.49762504043262,0.871731683554131
12,"Lansing",1,343,1.64888960957365,1.3611588513012
13,"noLansing",1,117,1.47256671177027,0.88700186881835
13,"Lansing",1,374,1.64558337654607,1.34609205430924
14,"noLansing",1,100,1.49910776786859,0.896862186656499
14,"Lansing",1,396,1.64424194043816,1.35525971422866
15,"noLansing",1,97,1.51038681136912,0.907253811271907
15,"Lansing",1,404,1.64879040294562,1.43137897107829
16,"noLansing",1,79,1.59135442730475,0.944258292964456
16,"Lansing",1,423,1.66314480315179,1.42308016721179
17,"noLansing",1,95,1.60223939300342,0.94904316957735
17,"Lansing",1,412,1.66749732563533,1.40292638362124
18,"noLansing",1,101,1.63807116491893,0.949945701841635
18,"Lansing",1,365,1.66173348346588,1.48154836567311
19,"noLansing",1,95,1.6494309105243,0.97154407795719
19,"Lansing",1,362,1.68819979264142,1.47493133562265
20,"noLansing",1,108,1.64496495415129,1.00660491914963
20,"Lansing",1,396,1.70639129662836,1.5427915032529
21,"noLansing",1,136,1.61057665679103,1.04450866734105
21,"Lansing",1,429,1.72903175807715,1.54379044554402
22,"noLansing",1,141,1.62833265010543,1.04821528047985
22,"Lansing",1,464,1.75350252707885,1.60252998525529
23,"noLansing",1,144,1.61908153168799,1.02728281870485
23,"Lansing",1,466,1.7560184879982,1.67676884893234
24,"noLansing",1,125,1.67013433794522,1.02302317319865
24,"Lansing",1,494,1.74978243040237,1.64510559832857
25,"noLansing",1,130,1.68510832415612,1.06957505453746
25,"Lansing",1,548,1.75501626076682,1.69493142921143
26,"noLansing",1,94,1.7704307163437,1.07790299083495
26,"Lansing",1,625,1.77041530537653,1.68821130308236
27,"noLansing",1,91,1.84227881634108,1.06765615992263
27,"Lansing",1,627,1.75579695352248,1.67816592581918
28,"noLansing",1,97,1.89248842307439,1.05876275211078
28,"Lansing",1,692,1.78717564956153,1.70717512608131
29,"noLansing",1,85,1.90028717856517,1.09255401991382
29,"Lansing",1,655,1.80770528678429,1.77002669071228
30,"noLansing",1,80,1.91703094869133,1.09754655658592
30,"Lansing",1,682,1.82613190818298,1.78834591837949
31,"noLansing",1,64,1.93191459921471,1.12484833175444
31,"Lansing",1,630,1.83614126399048,1.84684018459514
32,"noLansing",1,62,1.96068471096553,1.17633050428862
32,"Lansing",1,668,1.84518420264596,1.84597510946326
33,"noLansing",1,56,1.94382260692039,1.12917291364169
33,"Lansing",1,677,1.84804977931968,1.88372409754759
34,"noLansing",1,42,1.91957631633927,1.16198307065883
