"Time","pop_type","n_pop","pop_size","mean_b","mean_d"
0,"noLansing",1,500,1.5,0.82
0,"Lansing",1,500,1.5,1.3
1,"noLansing",1,1012,1.50058112648221,0.820060375494071
1,"Lansing",1,1173,1.4991831202046,1.29821040068201
2,"noLansing",1,1278,1.49946541471049,0.820242644757433
2,"Lansing",1,1856,1.50108970905172,1.25961712648199
3,"noLansing",1,1325,1.50210294339623,0.82249399245283
3,"Lansing",1,2311,1.50241717871051,1.24083557239819
4,"noLansing",1,1347,1.50847869339272,0.826030193021529
4,"Lansing",1,2519,1.49902139737991,1.23012684231381
5,"noLansing",1,1359,1.50992111846946,0.831183083149375
5,"Lansing",1,2690,1.50060442379182,1.2218892620789
6,"noLansing",1,1380,1.50707550724638,0.837712166666667
6,"Lansing",1,2793,1.50759534550662,1.22724646863332
7,"noLansing",1,1409,1.51275812633073,0.8422375443577
7,"Lansing",1,2924,1.50933218194254,1.23396372582721
8,"noLansing",1,1404,1.52518931623932,0.845616282051282
8,"Lansing",1,3036,1.51244275362319,1.24853061008427
9,"noLansing",1,1447,1.5291795438839,0.857932785072564
9,"Lansing",1,3028,1.51663236459709,1.25225658928521
10,"noLansing",1,1446,1.53790470262794,0.872817876901798
10,"Lansing",1,3169,1.51970034711265,1.25761946829268
11,"noLansing",1,1530,1.53767869281046,0.882939267973856
11,"Lansing",1,3193,1.52378825555904,1.2789282140396
12,"noLansing",1,1541,1.55365094094744,0.892181719662557
12,"Lansing",1,3192,1.53106463032581,1.28361576258424
13,"noLansing",1,1663,1.54865093205051,0.901518316295851
13,"Lansing",1,3034,1.53438800263678,1.30306763676066
14,"noLansing",1,1787,1.55513204252938,0.907052999440403
14,"Lansing",1,3125,1.541437536,1.32648911889865
15,"noLansing",1,1907,1.57378049292082,0.917672170949135
15,"Lansing",1,3231,1.55149248220365,1.36115616021159
16,"noLansing",1,1989,1.57995610859729,0.929513408748115
16,"Lansing",1,3244,1.55480624229346,1.37169131024825
17,"noLansing",1,2136,1.60375397940075,0.94021175093633
17,"Lansing",1,3235,1.56159117156105,1.37079712801252
18,"noLansing",1,2228,1.62156099192101,0.947652414721724
18,"Lansing",1,3190,1.57042332288401,1.3796248943222
19,"noLansing",1,2144,1.64100875466418,0.954604109141791
19,"Lansing",1,3201,1.5683248953452,1.39194109072801
20,"noLansing",1,2178,1.66097455463728,0.969386574839302
20,"Lansing",1,3310,1.56370896676737,1.41158121259862
21,"noLansing",1,2296,1.67630859320558,0.977685540069686
21,"Lansing",1,3320,1.56325980120482,1.43456140730224
22,"noLansing",1,2300,1.69901213043478,0.989550534782609
22,"Lansing",1,3309,1.57152778482925,1.4535074163938
23,"noLansing",1,2405,1.6999738045738,0.996013542619543
23,"Lansing",1,3323,1.58237884441769,1.47633422290769
24,"noLansing",1,2477,1.71681179249092,1.0059135526847
24,"Lansing",1,3322,1.59107014750151,1.49435350761498
25,"noLansing",1,2513,1.7301960206924,1.01277520891365
25,"Lansing",1,3318,1.6074802742616,1.5119774568091
26,"noLansing",1,2586,1.74581616395978,1.02175097447796
26,"Lansing",1,3454,1.62367866242038,1.50939876335215
27,"noLansing",1,2592,1.74815285493827,1.02365012731481
27,"Lansing",1,3492,1.6328759163803,1.51150859786428
0,"noLansing",2,500,1.5,0.82
0,"Lansing",2,500,1.5,1.3
1,"noLansing",2,1249,1.50079175340272,0.82196064051241
1,"Lansing",2,1192,1.50005520134228,1.30032927852349
2,"noLansing",2,1659,1.50269150090416,0.821560090415913
2,"Lansing",2,1815,1.50199614325069,1.25941170880776
3,"noLansing",2,1793,1.5064315672058,0.825294439486894
3,"Lansing",2,2112,1.50152845643939,1.23911856689861
4,"noLansing",2,1978,1.50764024266936,0.826524585439838
4,"Lansing",2,2240,1.50164785714286,1.25315163287063
5,"noLansing",2,2049,1.51117930697901,0.824866320156174
5,"Lansing",2,2355,1.50931749469214,1.26344420040089
6,"noLansing",2,2215,1.50800483069977,0.822697715575621
6,"Lansing",2,2402,1.51369783513739,1.26819550354293
7,"noLansing",2,2270,1.51476215859031,0.830682881057269
7,"Lansing",2,2420,1.5131532231405,1.28534989210825
8,"noLansing",2,2361,1.5172012282931,0.83362096145701
8,"Lansing",2,2422,1.51290999174236,1.30524214260624
9,"noLansing",2,2376,1.51858754208754,0.839600475589226
9,"Lansing",2,2505,1.50829616766467,1.30548947858211
10,"noLansing",2,2383,1.53013982375157,0.860351145614771
10,"Lansing",2,2522,1.5052874702617,1.33053818682343
11,"noLansing",2,2469,1.54226249493722,0.871269437019036
11,"Lansing",2,2517,1.51577290425109,1.33584527406235
12,"noLansing",2,2330,1.54529836909871,0.887325656652361
12,"Lansing",2,2476,1.52195537156704,1.34485868574441
13,"noLansing",2,2302,1.55748179843614,0.904541077324066
13,"Lansing",2,2599,1.53037466717968,1.37066627707784
14,"noLansing",2,2294,1.56138321708806,0.915215871839582
14,"Lansing",2,2688,1.53718175595238,1.37537069653431
15,"noLansing",2,2453,1.56579751324908,0.933385849979617
15,"Lansing",2,2773,1.54019397764154,1.39317647050727
16,"noLansing",2,2342,1.58239005123826,0.947502139197267
16,"Lansing",2,2990,1.54113618729097,1.40717233354439
17,"noLansing",2,2293,1.60160200610554,0.96567765372874
17,"Lansing",2,3216,1.54597555970149,1.42586367578713
18,"noLansing",2,2365,1.60896858350951,0.98384400845666
18,"Lansing",2,3329,1.54367464704115,1.44814633303948
19,"noLansing",2,2364,1.6197320642978,1.00269160744501
19,"Lansing",2,3344,1.553007715311,1.4709558354917
20,"noLansing",2,2296,1.63085418118467,1.01286899390244
20,"Lansing",2,3439,1.5590831927886,1.48033839789976
21,"noLansing",2,2157,1.64260806675939,1.02638171998146
21,"Lansing",2,3494,1.56345821408128,1.49478319399467
22,"noLansing",2,2146,1.65616775396086,1.03517061975769
22,"Lansing",2,3579,1.57156180497346,1.52108424878433
23,"noLansing",2,2190,1.66158585388128,1.04864556621005
23,"Lansing",2,3706,1.57746376146789,1.52759673984564
24,"noLansing",2,2308,1.66890583188908,1.05018763431542
24,"Lansing",2,3827,1.58293242748889,1.52625568516618
25,"noLansing",2,2327,1.68625818650623,1.05577366566394
25,"Lansing",2,3833,1.5875429428646,1.53416065919724
26,"noLansing",2,2339,1.68820218041898,1.0559015818726
26,"Lansing",2,3894,1.58960901386749,1.53710645632696
27,"noLansing",2,2339,1.68820218041898,1.0559015818726
27,"Lansing",2,3894,1.58960901386749,1.53710645632696
0,"noLansing",3,500,1.5,0.82
0,"Lansing",3,500,1.5,1.3
1,"noLansing",3,1093,1.49903275388838,0.818085544373285
1,"Lansing",3,1194,1.50072219430486,1.29881300670017
2,"noLansing",3,1453,1.50023131452168,0.81692151410874
2,"Lansing",3,1914,1.50280073145246,1.26246401638229
3,"noLansing",3,1601,1.5009073703935,0.814640018738289
3,"Lansing",3,2269,1.50447620096959,1.24850677273655
4,"noLansing",3,1797,1.50531185308848,0.819262470784641
4,"Lansing",3,2355,1.5023540552017,1.21383867120054
5,"noLansing",3,1875,1.50891653333333,0.826599738666667
5,"Lansing",3,2462,1.49936332250203,1.20425139860113
6,"noLansing",3,1948,1.51739476386037,0.832490128336756
6,"Lansing",3,2495,1.49780937875752,1.24484730377079
7,"noLansing",3,1941,1.51840705821741,0.834128207109737
7,"Lansing",3,2564,1.49476665366615,1.24950128230706
8,"noLansing",3,1942,1.52434592173018,0.848483800205973
8,"Lansing",3,2544,1.49371521226415,1.25323439606742
9,"noLansing",3,2002,1.53528232767233,0.852775569430569
9,"Lansing",3,2657,1.49374836281521,1.25221092767544
10,"noLansing",3,2029,1.53973743716116,0.864020896993593
10,"Lansing",3,2692,1.49445490341753,1.25915716816335
11,"noLansing",3,2032,1.54324138779528,0.874655231299213
11,"Lansing",3,2709,1.49573935031377,1.26849236615206
12,"noLansing",3,2094,1.55274594078319,0.892209990448902
12,"Lansing",3,2701,1.49205827471307,1.29375441600463
13,"noLansing",3,2215,1.55399968397291,0.906648541760722
13,"Lansing",3,2821,1.49053530662885,1.30037047135912
14,"noLansing",3,2223,1.55736630679262,0.91529705802969
14,"Lansing",3,2966,1.49720003371544,1.32530832551494
15,"noLansing",3,2148,1.56150488826816,0.928911270949721
15,"Lansing",3,3015,1.50026053067993,1.35377514282482
16,"noLansing",3,2176,1.56699462316176,0.944882182904412
16,"Lansing",3,3075,1.50191557723577,1.3603350677236
17,"noLansing",3,2066,1.57773334946757,0.954497584704743
17,"Lansing",3,3005,1.51066545091514,1.3692563617641
18,"noLansing",3,2100,1.58202657142857,0.962531961904762
18,"Lansing",3,3108,1.5122855019305,1.39120088157965
19,"noLansing",3,2143,1.59313751749883,0.96530307979468
19,"Lansing",3,3040,1.5177846875,1.41339672598713
20,"noLansing",3,2253,1.60391850865513,0.972808672880604
20,"Lansing",3,3068,1.52249971316819,1.43766177558764
21,"noLansing",3,2285,1.61737400437637,0.984349733041575
21,"Lansing",3,3200,1.533537115625,1.45757474141437
22,"noLansing",3,2432,1.63177800164474,0.998021566611842
22,"Lansing",3,3098,1.5389180987734,1.47287650099469
23,"noLansing",3,2571,1.6497555814858,1.00742253208868
23,"Lansing",3,3297,1.54797700940249,1.48951072815022
24,"noLansing",3,2635,1.65993791271347,1.01492516508539
24,"Lansing",3,3376,1.55709863744076,1.5017093185736
25,"noLansing",3,2753,1.67344115510352,1.02867746095169
25,"Lansing",3,3431,1.57126738560187,1.51177446238833
26,"noLansing",3,2794,1.69026599856836,1.03955811381532
26,"Lansing",3,3462,1.58911424032351,1.52184626431684
27,"noLansing",3,2733,1.69141236736187,1.04353253933407
27,"Lansing",3,3548,1.59091685456595,1.52269406216341
0,"noLansing",4,500,1.5,0.82
0,"Lansing",4,500,1.5,1.3
1,"noLansing",4,1151,1.5029615986099,0.821752884448306
1,"Lansing",4,1171,1.50185021349274,1.30310230572161
2,"noLansing",4,1568,1.50337161989796,0.822511090561225
2,"Lansing",4,1814,1.50210826901874,1.26695065469886
3,"noLansing",4,1720,1.5064786627907,0.827925343023256
3,"Lansing",4,2213,1.5035742431089,1.24331853087819
4,"noLansing",4,1760,1.50984454545455,0.834487039772727
4,"Lansing",4,2498,1.50473646917534,1.23356586828718
5,"noLansing",4,1748,1.50961453089245,0.841406893592677
5,"Lansing",4,2521,1.50319079730266,1.24157339468472
6,"noLansing",4,1767,1.51714182229768,0.850012682512733
6,"Lansing",4,2625,1.5027435047619,1.24353600936222
7,"noLansing",4,1809,1.52861116639027,0.858851232725263
7,"Lansing",4,2592,1.49849571759259,1.24566551935697
8,"noLansing",4,1829,1.53396517222526,0.862267184253691
8,"Lansing",4,2598,1.5006350269438,1.27031299915337
9,"noLansing",4,1882,1.54186604675877,0.862926902231668
9,"Lansing",4,2676,1.50412841180867,1.28139502610176
10,"noLansing",4,1934,1.54592812823164,0.866917626680455
10,"Lansing",4,2740,1.50623069343066,1.30329392402842
11,"noLansing",4,2059,1.55197775619233,0.870110830500243
11,"Lansing",4,2874,1.50751182672234,1.3022214975901
12,"noLansing",4,2185,1.56171862700229,0.881051066361556
12,"Lansing",4,2960,1.51051465202703,1.29992226280367
13,"noLansing",4,2141,1.56510397010743,0.895852951891639
13,"Lansing",4,3042,1.51326103550296,1.31304524905433
14,"noLansing",4,2112,1.57462149621212,0.906648115530303
14,"Lansing",4,2981,1.51813533713519,1.32670976017525
15,"noLansing",4,2211,1.5787052012664,0.922950827679783
15,"Lansing",4,2893,1.52312825440719,1.33292188600216
16,"noLansing",4,2264,1.58242407243816,0.936105795053004
16,"Lansing",4,2909,1.52913345135785,1.3567438382389
17,"noLansing",4,2340,1.59273452991453,0.939807235042735
17,"Lansing",4,2878,1.5416580437804,1.38132801442113
18,"noLansing",4,2362,1.6060849280271,0.95078966553768
18,"Lansing",4,2929,1.55372562990782,1.41393791806887
19,"noLansing",4,2473,1.61709890820865,0.963179757379701
19,"Lansing",4,2903,1.57020241129866,1.43242125018454
20,"noLansing",4,2546,1.63065919088767,0.968679560094265
20,"Lansing",4,2925,1.58535364102564,1.45841974156393
21,"noLansing",4,2569,1.64239793694044,0.978304772284936
21,"Lansing",4,3106,1.59411954282035,1.47418277000993
22,"noLansing",4,2707,1.65717953454008,0.982977838936092
22,"Lansing",4,3133,1.60580134056815,1.4913327352554
23,"noLansing",4,2769,1.67168656554713,0.999482928855182
23,"Lansing",4,3175,1.61531181102362,1.48989297644416
24,"noLansing",4,2834,1.67831457304164,1.00496315102329
24,"Lansing",4,3217,1.62454417158844,1.51458670947791
25,"noLansing",4,2790,1.69279405017921,1.01823607885305
25,"Lansing",4,3322,1.63618826008429,1.51186356571253
26,"noLansing",4,2874,1.69810939457203,1.02859810368824
26,"Lansing",4,3418,1.64877913984786,1.5197023727199
27,"noLansing",4,2874,1.69810939457203,1.02859810368824
27,"Lansing",4,3418,1.64877913984786,1.5197023727199
0,"noLansing",5,500,1.5,0.82
0,"Lansing",5,500,1.5,1.3
1,"noLansing",5,1142,1.49961033274956,0.822818467600701
1,"Lansing",5,1247,1.50087217321572,1.30209238171612
2,"noLansing",5,1478,1.50129140730717,0.826457253044655
2,"Lansing",5,1974,1.50000825734549,1.25923193263111
3,"noLansing",5,1587,1.50155299306868,0.824298034026465
3,"Lansing",5,2427,1.50026687268232,1.22556330242346
4,"noLansing",5,1622,1.50053187422935,0.825636165228113
4,"Lansing",5,2535,1.49801274161736,1.21733628572257
5,"noLansing",5,1657,1.49884755582378,0.829021822570911
5,"Lansing",5,2531,1.49501904385618,1.22207066275229
6,"noLansing",5,1738,1.5033587456847,0.838852865362486
6,"Lansing",5,2574,1.48765435120435,1.23634641542693
7,"noLansing",5,1741,1.51540924755887,0.843762010338886
7,"Lansing",5,2641,1.48680071942446,1.25039534364654
8,"noLansing",5,1760,1.52907073863636,0.852128301136364
8,"Lansing",5,2705,1.48498011090573,1.25565244108949
9,"noLansing",5,1666,1.5375231092437,0.855317611044418
9,"Lansing",5,2793,1.48168754027927,1.27764319443315
10,"noLansing",5,1686,1.54377864768683,0.85919571767497
10,"Lansing",5,2810,1.48294946619217,1.28726830486215
11,"noLansing",5,1752,1.54946689497717,0.862196780821918
11,"Lansing",5,2799,1.48589699892819,1.29736748608299
12,"noLansing",5,1855,1.55480334231806,0.874302700808625
12,"Lansing",5,2686,1.4949948622487,1.31355944553703
